,Year,Month,Day,Sunspot No.
315,2020,8,11,12
316,2020,8,12,17
317,2020,8,13,10
318,2020,8,14,5
319,2020,8,15,0
320,2020,8,16,0
321,2020,8,17,0
322,2020,8,18,13
323,2020,8,19,15
324,2020,8,20,13
325,2020,8,21,3
326,2020,8,22,0
327,2020,8,23,0
328,2020,8,24,0
329,2020,8,25,0
330,2020,8,26,0
331,2020,8,27,0
332,2020,8,28,0
333,2020,8,29,0
334,2020,8,30,0
335,2020,8,31,0
336,2020,9,1,0
337,2020,9,2,0
338,2020,9,3,0
339,2020,9,4,0
340,2020,9,5,0
341,2020,9,6,0
342,2020,9,7,0
343,2020,9,8,0
344,2020,9,9,0
345,2020,9,10,0
346,2020,9,11,0
347,2020,9,12,0
348,2020,9,13,0
349,2020,9,14,2
350,2020,9,15,0
351,2020,9,16,0
352,2020,9,17,0
353,2020,9,18,0
354,2020,9,19,0
355,2020,9,20,0
356,2020,9,21,0
357,2020,9,22,0
358,2020,9,23,8
359,2020,9,24,6
360,2020,9,25,5
361,2020,9,26,0
362,2020,9,27,0
363,2020,9,28,0
364,2020,9,29,0
365,2020,9,30,0
366,2020,10,1,0
367,2020,10,2,0
368,2020,10,3,0
369,2020,10,4,0
370,2020,10,5,0
371,2020,10,6,0
372,2020,10,7,0
373,2020,10,8,6
374,2020,10,9,23
375,2020,10,10,15
376,2020,10,11,17
377,2020,10,12,16
378,2020,10,13,0
379,2020,10,14,5
380,2020,10,15,13
381,2020,10,16,13
382,2020,10,17,13
383,2020,10,18,23
384,2020,10,19,16
385,2020,10,20,13
386,2020,10,21,11
387,2020,10,22,11
388,2020,10,23,22
389,2020,10,24,21
390,2020,10,25,22
391,2020,10,26,19
392,2020,10,27,44
393,2020,10,28,28
394,2020,10,29,37
395,2020,10,30,31
396,2020,10,31,26
397,2020,11,1,3
398,2020,11,2,8
399,2020,11,3,16
400,2020,11,4,24
401,2020,11,5,31
402,2020,11,6,41
403,2020,11,7,38
404,2020,11,8,44
405,2020,11,9,28
406,2020,11,10,27
407,2020,11,11,31
408,2020,11,12,30
409,2020,11,13,25
410,2020,11,14,22
411,2020,11,15,6
412,2020,11,16,0
413,2020,11,17,12
414,2020,11,18,12
415,2020,11,19,12
416,2020,11,20,12
417,2020,11,21,25
418,2020,11,22,37
419,2020,11,23,48
420,2020,11,24,42
421,2020,11,25,51
422,2020,11,26,57
423,2020,11,27,75
424,2020,11,28,84
425,2020,11,29,94
426,2020,11,30,85
427,2020,12,1,46
